session_date_utc,pair,session_utc,expected_bars,compared_bars,open_close_failure_rows,high_low_only_failure_rows,raw_signal_disagreements,delayed_signal_disagreements,volatility_eligibility_disagreements,median_close_bps_diff,p95_close_bps_diff,max_close_bps_diff,max_any_ohlc_bps_diff,pair_pass
2026-08-19,GBPUSD,11:00-13:00,24,24,3,0,0,0,0,0.8481628644445081,4.191460851946495,5.008507096612732,9.354330244686478,True
2026-08-19,USDJPY,11:00-13:00,24,24,4,0,1,1,1,0.9824239348452598,7.077294763975365,8.62839247118765,15.415054630691733,False
2026-08-20,AUDUSD,11:00-14:00,36,36,1,6,0,0,0,1.1242192013536285,2.2139265647133715,2.6685393258430263,6.3237774030347165,True
2026-08-20,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.8553222516653862,1.917069622148542,2.740007535019659,4.109940919599588,True
2026-08-20,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.9165491914171788,2.032133263944763,3.1532324298950667,3.302340258463615,True
2026-08-20,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.875804146897298,4.054087326118868,4.567321332870987,4.567321332870987,True
2026-08-21,AUDUSD,11:00-14:00,36,36,0,4,0,0,0,0.7681281418827965,2.3715194589213544,2.3742353565543346,5.865921787709162,True
2026-08-21,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.812237365225032,2.210057384074108,4.69772288559617,4.69772288559617,True
2026-08-21,GBPUSD,11:00-13:00,24,24,1,0,0,0,0,1.1722528471499591,3.35127537030021,5.269937931840905,5.269937931840905,True
2026-08-21,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.8848311017061558,2.4697637722569974,3.5638250966853997,3.8887172340747207,True
2026-08-24,AUDUSD,11:00-14:00,36,36,0,12,0,0,0,1.4659793074910994,3.4903039540363636,3.908976685745455,6.287550649712875,True
2026-08-24,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6426246965114604,1.979703265696,4.8001508618833215,4.8001508618833215,True
2026-08-24,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.6963076447875857,2.3755431029864496,3.8873689846626376,3.8873689846626376,True
2026-08-24,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.9288741034760454,2.5083659122991113,2.9154794029393614,2.9154794029393614,True
2026-08-25,AUDUSD,11:00-14:00,36,36,0,5,0,0,0,0.9785624917477048,3.0059259027595475,4.889633975970403,6.015668718523243,True
2026-08-25,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.25729870666387566,1.6892471274239438,2.4867942649370707,2.4867942649370707,True
2026-08-25,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.5503397012065863,1.591882598945229,1.6869714461742602,2.7877631868538404,True
2026-08-25,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.4959428856291811,1.522080510488931,1.717544068977086,2.2458851614529007,True
2026-08-26,AUDUSD,11:00-14:00,36,36,2,4,0,0,0,0.8355033212877742,4.458250720652341,5.569479253690713,6.412937404153142,True
2026-08-26,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.7715652487005424,1.8482694652241838,3.431797318050018,3.431797318050018,True
2026-08-26,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.6971496994401001,1.2483363647472183,3.1601613887083206,3.821309680406793,True
2026-08-26,USDJPY,11:00-13:00,24,24,0,0,0,0,0,1.107474985246712,1.740710719275781,2.0010564974600293,3.2465325848921682,True
2026-08-27,AUDUSD,11:00-14:00,36,36,0,6,0,0,0,0.8356837028417327,2.6765684903562033,2.783460676658984,5.704744677890934,True
2026-08-27,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.4295661815020524,1.4473156411684698,1.6318818174021688,3.0920662732864024,True
2026-08-27,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.699638486575213,1.8302203629498945,1.9880569320599397,3.3876336642406173,True
2026-08-27,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.6073909995811364,1.570652886152988,1.6751122594892789,2.1970371671207154,True
2026-08-28,AUDUSD,11:00-14:00,36,36,2,4,0,0,0,0.6253870064954844,2.640751143558338,10.428543619120628,10.428543619120628,True
2026-08-28,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.4722931928928987,1.249879117163973,1.6312653467719185,2.2338688890810983,True
2026-08-28,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.5888869668350101,1.808243661305433,2.9455948628822344,2.9455948628822344,True
2026-08-28,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.6683474825729254,1.634087993767071,1.720486698496243,1.720486698496243,True
2026-08-31,AUDUSD,11:00-14:00,36,36,0,10,0,0,0,0.8378425646104577,3.145093653899181,4.753250384454172,6.1512652034111,True
2026-08-31,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.43104005790489264,1.7248271341388544,2.1563621308315235,2.156659765356138,True
2026-08-31,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.6648076674577548,1.983310751547307,2.141280190204023,2.8813546799857597,True
2026-08-31,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.40013310443764794,0.9759237735877153,1.0316898541100474,2.185207441347833,True
2026-09-01,AUDUSD,11:00-14:00,36,36,1,4,0,0,0,1.1197111154109711,2.5546883335888984,5.878236529040951,6.299874002519255,True
2026-09-01,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5607326557861569,1.4277205297278497,2.5884383088866865,2.5884383088866865,True
2026-09-01,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.5911628585509296,1.621947645915315,1.9213431666685898,2.291712870555426,True
2026-09-01,USDJPY,11:00-13:00,24,24,0,2,0,0,0,0.5404825036678095,1.750009458028107,2.0716653867038373,7.550424711388406,True
2026-09-02,AUDUSD,11:00-14:00,36,36,1,4,0,0,0,1.400551705387263,3.9512485180518957,4.1958041958052865,6.576185812228494,True
2026-09-02,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6045658299050276,2.526944105237688,3.4543507547752594,3.4543507547752594,True
2026-09-02,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.9642701262264718,2.685986886805374,3.6351766399105414,4.0032322393635225,True
2026-09-02,USDJPY,11:00-13:00,24,24,0,0,0,0,0,1.30430423530821,3.0618212196546826,3.6125257612489214,3.6125257612489214,True
2026-09-03,AUDUSD,11:00-14:00,36,36,1,5,0,0,0,0.6951107566678666,2.3954809753308295,2.7787426189646123,5.70291961665128,True
2026-09-03,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5591094848369809,2.040557898556632,3.3561667412491176,4.479669193660199,True
2026-09-03,GBPUSD,11:00-13:00,24,24,0,1,0,0,0,0.7410234560306657,2.652965577950267,3.0366321527501627,6.522770398481913,True
2026-09-03,USDJPY,11:00-13:00,24,24,10,1,14,13,14,2.252625221405075,7.0414764022237115,8.326020816652829,10.174973420948609,False
2026-09-04,AUDUSD,11:00-14:00,36,36,2,8,2,1,2,1.1112271817060129,3.093756240198872,4.449264480965309,10.458792358109447,False
2026-09-04,EURUSD,11:00-13:00,24,24,2,0,0,0,0,0.7743734049180037,1.7087229938710284,7.068478035997887,8.103029153665869,True
2026-09-04,GBPUSD,11:00-13:00,24,24,1,0,0,0,0,0.5179247635354602,2.328392684629705,3.999940741618531,8.518329222313461,True
2026-09-04,USDJPY,11:00-13:00,24,24,4,2,0,0,0,1.2413740957429247,7.549734446930548,25.990194316810918,35.91142140285819,True
2026-09-07,AUDUSD,11:00-14:00,36,36,0,2,0,0,0,0.6233589355898788,1.8357678838576594,4.159157077498502,5.407653910149771,True
2026-09-07,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5160358134957164,1.2647764675742506,2.0650490449149714,2.409638554217367,True
2026-09-07,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.48021295480091375,1.1601027054946074,1.773770370644233,2.438663907773732,True
2026-09-07,USDJPY,11:00-13:00,24,24,1,1,0,0,0,1.378777840588591,4.560315882997758,4.93277321819998,7.155419910510319,True
2026-09-08,AUDUSD,11:00-14:00,36,36,0,5,0,0,0,0.7623958680503486,2.7018062213736087,3.045277743172321,6.092495153696982,True
2026-09-08,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6028714332812384,2.027783434570078,2.238831674301028,2.7560072345179223,True
2026-09-08,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.8117547462982799,1.8207234888232628,2.731211846077621,2.731211846077621,True
2026-09-08,USDJPY,11:00-13:00,24,24,1,0,0,0,0,1.910457230054706,4.522180414694735,4.623303211418615,6.518138417069386,True
2026-09-09,AUDUSD,11:00-14:00,36,36,1,4,0,0,0,1.0376901994280174,2.872002772457423,4.4303534591367315,5.534034311012118,True
2026-09-09,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5584341735018178,1.5327113351277764,2.3189700337538324,3.51997802160083,True
2026-09-09,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,1.0699675394141321,2.5608245988365628,2.803186780761633,4.2072941193835165,True
2026-09-09,USDJPY,11:00-13:00,24,24,1,0,0,0,0,1.145410736975887,3.3671508066880778,3.614866628385948,5.101821100229444,True
2026-09-10,AUDUSD,11:00-14:00,36,36,5,7,3,3,3,1.1835514758868646,4.429104254958274,5.167814293894736,6.98109519421485,False
2026-09-10,EURUSD,11:00-13:00,24,24,1,0,0,0,0,0.6454219656386821,2.538196882925687,4.483763602187352,8.105264973183134,True
2026-09-10,GBPUSD,11:00-13:00,24,24,0,0,3,2,3,1.0720010142033338,2.567156481110094,3.621233732162479,3.776742670527414,False
2026-09-10,USDJPY,11:00-13:00,24,24,2,0,0,0,0,1.7882625274070287,4.756779920039482,5.664994335653592,5.664994335653592,True
2026-09-11,AUDUSD,11:00-14:00,36,36,2,5,10,10,10,1.0450924286422634,3.2434536051157234,5.429183951889098,5.5788005578809905,False
2026-09-11,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5175983446497532,2.3162306244859407,3.0174234652097325,3.0174234652097325,True
2026-09-11,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.9248912752490199,1.926312715014094,3.181014521702305,3.181014521702305,True
2026-09-11,USDJPY,11:00-13:00,24,24,4,2,2,2,2,0.9567355607858796,5.434221205120343,6.055270014749464,7.64142959442726,False
2026-09-14,AUDUSD,11:00-14:00,36,36,0,8,0,0,0,0.9826433430220813,2.4252767672608213,4.06846240179591,5.903851560303289,True
2026-09-14,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6928116508538164,2.9967324480671507,3.5528596187176906,3.5528596187176906,True
2026-09-14,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.8153259727515536,2.6577360651427875,2.8173190984582366,4.826218991543272,True
2026-09-14,USDJPY,11:00-13:00,24,24,0,0,0,0,0,1.1519573779150067,2.131172935090183,2.3882258523832305,3.858248903870401,True
2026-09-15,AUDUSD,11:00-14:00,36,36,0,6,0,0,0,0.7015180856893146,2.0335484758765623,2.946458637333644,5.895564289724535,True
2026-09-15,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.4765621991740783,1.5332098170278512,1.6466183658605096,2.165627165625965,True
2026-09-15,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.8527763113822573,1.7686229933494668,1.9290695948948429,2.4470364905043223,True
2026-09-15,USDJPY,11:00-13:00,24,24,0,0,0,0,0,1.0154552874733436,2.1137146965521647,4.596966763472999,4.596966763472999,True
2026-09-16,AUDUSD,11:00-14:00,36,36,0,10,0,0,0,0.7013360479602028,2.9811075136063154,4.21052631578901,5.616399887671383,True
2026-09-16,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6935474125228708,1.7685248203336272,2.2543808689764844,2.2543808689764844,True
2026-09-16,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.7800075192904283,2.144977572482846,2.526434680517525,2.526434680517525,True
2026-09-16,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.5674974531334864,1.3946766588269353,2.0143096557947664,2.805885389777245,True
2026-09-17,AUDUSD,11:00-14:00,36,36,1,9,0,0,0,0.9838093726096246,2.214994596850487,5.201012088838649,5.912162162161823,True
2026-09-17,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.4791733492027054,1.8652541689230724,2.09004615518415,2.3502580931591344,True
2026-09-17,GBPUSD,11:00-13:00,24,24,2,1,1,1,0,0.7852372905087338,3.6985767985473257,6.136300708666558,8.13159759782189,False
2026-09-17,USDJPY,11:00-13:00,24,24,1,0,0,0,0,1.4658601947109742,4.025635085796504,4.3139446735809575,5.392452878672003,True
2026-09-18,AUDUSD,11:00-14:00,36,36,0,9,0,0,0,1.12319324285968,2.2841221508534497,3.9381153305212093,5.8980480269637265,True
2026-09-18,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.8288553991435803,2.18087005439881,3.1397174254309776,3.1397174254309776,True
2026-09-18,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.7119450653787066,2.387642976994482,2.999310158663177,2.999310158663177,True
2026-09-18,USDJPY,11:00-13:00,24,24,2,0,0,0,0,1.236038113086562,4.076051786829629,6.29997592285253,7.154624021086409,True
2026-09-21,AUDUSD,11:00-14:00,36,36,0,10,0,0,0,0.7011738378268579,1.8914583203943538,2.2442281257881165,5.606952621249732,True
2026-09-21,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6965153029209902,1.5544524908055528,3.3074539567598005,3.3074539567598005,True
2026-09-21,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.522862176340821,1.6616833090699874,2.4636426075786235,2.763462543879166,True
2026-09-21,USDJPY,11:00-13:00,24,24,1,0,0,0,0,0.7988249732846965,2.5530656746389866,5.199636273456604,5.199636273456604,True
